Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number
"PASOLO MATERNITY AND MEDICAL CLINIC, INC.",Hospital,702,Private,152 PASOLO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASOLO,+63 022922753
PERPETUAL HELP HOSPITAL,Hospital,710,Private,1504 LAON-LAAN STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 470,+63 027318177
PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,Hospital,711,Private,836 FLORENTINO CAYCO STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 457,+63 027311631
PHILIPPINE CHILDRENS MEDICAL CENTER,Hospital,713,Government,QUEZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,+63 029246601
PHILIPPINE HEART CENTER,Hospital,714,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 029252401
PHILIPPINE ORTHOPEDIC CENTER,Hospital,715,Government,MA. CLARA STREET CORNER BANAWE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA TERESITA,+63 027124602
CALOOCAN CITY MEDICAL CENTER,Hospital,719,Government,450 A.MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 15,
RIZAL MEDICAL CENTER,Hospital,727,Government,PASIG BOULEVARD,1600,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINEDA,+63 026719740
SAN ROQUE MEDICAL CLINIC,Hospital,740,Private,249 T. MONTILLANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028422950
ST. CLARE'S MEDICAL CENTER,Hospital,758,Private,1838 DIAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PALANAN,+63 028316511
ST. JUDE HOSPITAL AND MEDICAL CENTER,Hospital,768,Private,DIMASALANG CORNER DON QUIJOTE STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027312761
ST. VICTORIA HOSPITAL,Hospital,774,Private,444 J.P. RIZAL STREET LAMUAN,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MALANDAY,+63 029422022
ST. MARTIN DE PORRES CHARITY HOSPITAL,Hospital,778,Private,70 A. BONIFACIO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,KABAYANAN,+63 027230741
TAGUIG-PATEROS DISTRICT HOSPITAL,Hospital,788,Government,EAST SERVICE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,+63 028383485
UNCIANO GENERAL HOSPITAL,Hospital,795,Private,393 BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MALAMIG,+63 025336565
UNITED DOCTORS MEDICAL CENTER,Hospital,797,Private,290 ESPANA CORNER 6TH N. RAMIREZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DON MANUEL,+63 027123640
UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,Hospital,798,Private,ALABANG-ZAPOTE RD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028748515
VALENZUELA CITY EMERGENCY HOSPITAL,Hospital,801,Government,POLO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,POBLACION,+63 022945137
VALENZUELA MEDICAL CENTER,Hospital,802,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,
"WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.",Hospital,806,Private,"23 BUENAMAR STREET, BUENAMAR SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,+63 029301622
CARMONA HEALTH CENTER,Rural Health Unit,809,Government,"3002 H. SANTOS STREET, PASONG TAMO",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,CARMONA,+63 028953721
ALMANZA UNO HEALTH CENTER,Rural Health Unit,812,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA UNO,+63 028267422
ALMANZA II HEALTH CENTER (T. S. CRUZ HC),Rural Health Unit,813,Government,ILANG-ILANG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA DOS,+63 028629632
ANA HEALTH CENTER,Rural Health Unit,814,Government,"KAPANALIG STREET, MARCELA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 28,
ATANG DE LA RAMA HEALTH CENTER,Rural Health Unit,817,Government,424 PAMPANGA STREET CORNER R. FERNANDEZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 175,+63 022539013
CORAZON AQUINO HEALTH CENTER,Rural Health Unit,826,Government,BASECO COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PORT AREA,BARANGAY 649,+63 024943471
RIZAL HEALTH CENTER,Rural Health Unit,828,Government,AMRILLO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,RIZAL,+63 027291992
CALABASH HEALTH CENTER,Rural Health Unit,832,Government,2111 SOLEDAD EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 534,+63 027812024
CANUMAY WEST HEALTH CENTER,Rural Health Unit,838,Government,T. SANTIAGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,CANUMAY,+63 024442235
CONCEPCION HEALTH CENTER,Rural Health Unit,839,Government,E. DE JESUS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,CONCEPCION,
KRUS NA LIGAS HEALTH CENTER,Rural Health Unit,840,Government,89 LT. J. FRANCISCO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KRUS NA LIGAS,
DALANDANAN HEALTH CENTER,Rural Health Unit,841,Government,177 MC ARTHUR HI-WAY,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,DALANDANAN,
DIMASALANG HEALTH CENTER,Rural Health Unit,844,Government,"ISAGANI CORNER TIAGO STREET, SANTA CRUZ",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 368,+63 027112849
DOÑA MARTA HEALTH CENTER,Rural Health Unit,846,Government,37 DON CARLOS REVILLA STREET,1300,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 147,+63 028517804
POTRERO HEALTH CENTER,Rural Health Unit,847,Government,14 DURIAN STREET,1475,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,POTRERO,
ESPERANZA HEALTH CENTER,Rural Health Unit,850,Government,"286 TERESA STREET, OLD STA. MESA",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 842,+63 027157028
F. LEGARDA HEALTH CENTER,Rural Health Unit,851,Government,457 QUINTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027812456
FRANCISCO HEALTH CENTER,Rural Health Unit,852,Government,124 ESGUERRA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 75,
HAGONOY HEALTH CENTER,Rural Health Unit,853,Government,1 C.P. TINGA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,HAGONOY,
KARUHATAN HEALTH CENTER,Rural Health Unit,857,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,+63 024450907
LUZVIMINDA HEALTH CENTER,Rural Health Unit,860,Government,CEBU STREET CORNER LUZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 558,+63 027155047
MABOLO HEALTH CENTER,Rural Health Unit,861,Government,34 AMABELLA COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MABOLO,+63 024445730
MANOTOC HEALTH CENTER,Rural Health Unit,866,Government,FELOMENA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024450587
GATCHALIAN HEALTH CENTER,Rural Health Unit,867,Government,"S. MARQUEZ STREET, PHASE 4, GATCHALIAN SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,MANUYO DOS,+63 028267587
NAVOTAS CITY HEALTH OFFICE,Rural Health Unit,870,Government,M. NAVAL STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN JOSE (POB.),+63 022830697
ARSENIA J. MAXIMO SUPER HEALTH CENTER,Rural Health Unit,872,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,
NOVALICHES LYING-IN CLINIC,Rural Health Unit,873,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,
IVC (OLANDES) HEALTH CENTER,Rural Health Unit,874,Government,O. DE GUZMAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,INDUSTRIAL VALLEY,+63 023698254
OBLIZA HEALTH CENTER,Rural Health Unit,875,Government,FORTUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,OLYMPIA,+63 028991212
BAGONG PAG-ASA HEALTH CENTER,Rural Health Unit,876,Government,ROAD 9 CORNER ROAD 10,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,
PALANAN HEALTH CENTER,Rural Health Unit,878,Government,4513 CASINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PALANAN,+63 028327935
PARADA HEALTH CENTER,Rural Health Unit,879,Government,S. DE GUZMAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PARADA,+63 022926367
BAGONG SILANG PHASE 9 HEALTH CENTER,Rural Health Unit,880,Government,BAGONG SILANG PHASE 9,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
POBLACION HEALTH CENTER,Rural Health Unit,881,Government,"GROUND FLOOR, CONTESSA BUILDING",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,+63 028612462
PROGRESO STATION HEALTH CENTER,Barangay Health Station,883,Government,J. EUSTAQUIO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PROGRESO,
PUNTURIN HEALTH CENTER,Rural Health Unit,885,Government,19 P. FAUSTINO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PUNTURIN,+63 024452554
RAMON MAGSAYSAY HEALTH CENTER,Rural Health Unit,887,Government,2501 JOSE ABAD SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022561052
ROSARIO SUPER HEALTH CENTER,Rural Health Unit,888,Government,F. ANDRES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,893,Government,3312 N. PADILLA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAN MIGUEL,BARANGAY 645,+63 027360360
SAN MIGUEL HEIGHTS HEALTH CENTER,Rural Health Unit,894,Government,ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,
SAN NICOLAS HEALTH CENTER,Rural Health Unit,897,Government,521 ASUNCION STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,BARANGAY 285,+63 022433593
SAN SEBASTIAN HEALTH CENTER,Rural Health Unit,901,Government,47 PLAZA DEL CARMEN,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,BARANGAY 390,+63 027348754
TALA HEALTH CENTER,Rural Health Unit,906,Government,"BACK OF POST OFFICE, GLORIETTA, TALA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 188,
TALON IV HEALTH CENTER,Rural Health Unit,908,Government,SAMPAGUITA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON KUATRO,+63 028011862
TALON V RURAL HEALTH UNIT (MOONWALK RURAL HEALTH UNIT ),Rural Health Unit,909,Government,"APOLLO IV STREET, MOONWALK VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON SINGKO,+63 028006165
UPPER BICUTAN HEALTH CENTER,Rural Health Unit,914,Government,PUROK 4,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,UPPER BICUTAN,
USUSAN HEALTH CENTER,Rural Health Unit,915,Government,TOMASA AVENUE TOMASA SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,USUSAN,
VEINTE REALES HEALTH CENTER,Rural Health Unit,916,Government,C. MOLINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,VIENTE REALES,
VENTANILLA HEALTH CENTER,Rural Health Unit,917,Government,2ND FLOOR PASAY PUBLIC MARKET,1300,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 138,
VITAS HEALTH CENTER,Rural Health Unit,918,Government,"VIB COMPOUND, VITAS STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 101,+63 022530054
WESTERN BICUTAN HEALTH CENTER,Rural Health Unit,919,Government,SERVICE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,
PAMPLONA III HEALTH CENTER,Rural Health Unit,928,Government,VERDANT ACRES,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA TRES,+63 028729664
CORAZON DE JESUS HEALTH CENTER I,Barangay Health Station,931,Government,P.NARCISO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,CORAZON DE JESUS,+63 024127290
PEMBO HEALTH CENTER,Rural Health Unit,1346,Government,SAMPAGUITA CORNER SANTAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PEMBO,+63 027581398
SANTA LUCIA MINI FLOODWAY HEALTH CENTER,Rural Health Unit,1435,Government,EASTBANK ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA LUCIA,
MANGGAHAN HEALTH CENTER,Rural Health Unit,1436,Government,EASTBANK FLOODWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,
SANTO TOMAS HEALTH CENTER,Rural Health Unit,1445,Government,LB JOSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTO TOMAS,+63 026281025
LAGRO HEALTH CENTER,Rural Health Unit,1447,Government,"BLOCK 47 LOT 1 , ASCENSION AVENUE, LAGRO SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GREATER LAGRO,+63 029308815
LA PAZ HEALTH CENTER,Rural Health Unit,1449,Government,815 ARCHIMEDES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,LA PAZ,+63 028908952
SAN ANTONIO HEALTH CENTER,Rural Health Unit,1452,Government,8456 MAYAPIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SAN ANTONIO,+63 028972626
SAN ISIDRO HEALTH CENTER,Rural Health Unit,1462,Government,A. SANTOS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ISIDRO,+63 028200837
DON BOSCO HEALTH CENTER,Rural Health Unit,1463,Government,"CEYLON STREET, BETTER LIVING SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,DON BOSCO,+63 028236977
PINAGKAISAHAN HEALTH CENTER,Rural Health Unit,1464,Government,DANLIG STREET CORNER TOLENTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PINAGKAISAHAN,+63 028818128
SAGAD HEALTH CENTER,Rural Health Unit,1466,Government,ANGELES STREET CORNER FELICIANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAGAD,+63 026280227
KARANGALAN HEALTH CENTER,Rural Health Unit,1467,Government,KAGINHAWAHAN STREET KARANGALAN VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,
BAGONG ILOG HEALTH CENTER,Rural Health Unit,1469,Government,SGT. PASCUA STREET (POOK MALIGAYA),,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,+63 026710681
PEDRO CRUZ HEALTH CENTER,Rural Health Unit,1470,Government,F.SEVILLA STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PEDRO CRUZ,+63 027995069
NAPICO HEALTH CENTER,Rural Health Unit,1471,Government,AMPALAYA STREET NAPICO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,
BANGCULASI HEALTH CENTER,Rural Health Unit,1474,Government,ALPHA STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,BANGCULASI,+63 022818732
ISMAR HEALTH CENTER,Rural Health Unit,1475,Government,SAMPAGUITA ROAD ISMAR,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KALAWAAN,+63 026425648
BAGONG ILOG PUERICULTURE CENTER,Rural Health Unit,1477,Government,M. FLORES CORNER AVIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,
CANIOGAN HEALTH CENTER,Rural Health Unit,1478,Government,KALINANGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,CANIOGAN,+63 026415110
LITTLE BAGUIO HEALTH CENTER,Rural Health Unit,1480,Government,ALVIR STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,LITTLE BAGUIO,+63 024012306
KAPITOLYO HEALTH CENTER,Rural Health Unit,1481,Government,SANTA ISABEL CORNER SANTA ROSA BARRIO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KAPITOLYO,+63 026314397
WEST CRAME HEALTH CENTER,Rural Health Unit,1483,Government,ROAD 10 CORNER ROAD 6,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,WEST CRAME,+63 024108471
PASADEÑA HEALTH CENTER,Rural Health Unit,1485,Government,187 F. BENITEZ STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PASADE??A,
SANTA LUCIA HEALTH CENTER,Rural Health Unit,1486,Government,1 B.S. ANGELES STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SANTA LUCIA,
SANTA LUCIA HEALTH CENTER,Rural Health Unit,1487,Government,CAMIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA LUCIA,
MAYBUNGA HEALTH CENTER,Rural Health Unit,1488,Government,DR. SIXTO ANTONIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 026428645
SAN JUAN CITY HEALTH OFFICE I,Rural Health Unit,1493,Government,F. SEVILLA STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PEDRO CRUZ,+63 027995069
PIO DEL PILAR RURAL HEALTH UNIT,Rural Health Unit,1505,Government,APOLINARIO STREET CORNER ARGUELLES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PIO DEL PILAR,+63 028450622
TAÑONG HEALTH CENTER,Rural Health Unit,1512,Government,PHASE 3,1470,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TAÑONG (POB.),
BUTING HEALTH CENTER,Rural Health Unit,1691,Government,2 CONCHING STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BUTING,+63 026411440
SAN RAMON HOSPITAL,Hospital,1794,Private,"38 GEN. ORDOÑEZ STREET, RANCHO ESTATE IV",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION DOS,+63 029418040
SUNRISE HILL THERAPEUTIC COMMUNITY HOSP,Hospital,1801,Private,"20 11TH STREET, NEW MANILA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 027246128
BARANGAY 12 HEALTH CENTER,Rural Health Unit,1834,Government,"BANGAYNGAY STREET, DAGAT-DAGATAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 12,
BAGO BANTAY HEALTH CENTER,Rural Health Unit,1842,Government,BUKIDNON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ALICIA,
MALANDAY HEALTH CENTER,Rural Health Unit,1876,Government,I. MARCELO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALANDAY,+63 022946951
CARDINAL SANTOS MEDICAL CENTER,Hospital,1919,Private,WILSON STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,GREENHILLS,+63 027253577
PANSOL HEALTH CENTER,Rural Health Unit,1925,Government,PLAZA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PANSOL,+63 029235236
JOSE FABELLA HEALTH CENTER,Rural Health Unit,1936,Government,1004 FERMIN STREET SINGALONG,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,BARANGAY 724,+63 025232857
TUNASAN HEALTH CENTER,Rural Health Unit,1944,Government,E.RODRIGUEZ AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,TUNASAN,+63 028612849
BIGNAY HEALTH CENTER,Rural Health Unit,1949,Government,HULO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,+63 029840291
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Hospital,1981,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 029810330
SUMILANG HEALTH CENTER,Rural Health Unit,1993,Government,"KALAYAAN STREET, OLD BARANGAY HALL",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SUMILANG,+63 026416800
PASOLO HEALTH CENTER,Rural Health Unit,2007,Government,DREAMLAND SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASOLO,
CAMARIN 175 HEALTH CENTER,Rural Health Unit,2016,Government,"LIBIS STREET, AREA A CAMARIN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 175,
