,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
203,CARLOS CLINIC,Hospital,9011.0,Private,85 PALASAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PALASAN,,120.9489091,14.7021317
204,CEMBO HEALTH CENTER,Rural Health Unit,9050.0,Government,BANABA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,CEMBO,+63 026596152,121.0522035,14.5638623
205,MUNTINLUPA CITY HEALTH OFFICE,Rural Health Unit,9088.0,Government,"Ground Floor, Contessa Building",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,,121.0290335,14.3854118
206,DEPARO HEALTH CENTER,Rural Health Unit,9360.0,Government,DEPARO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 168,+63 024895011,121.0260887,14.7398933
207,DOÑA NENA HEALTH CENTER,Rural Health Unit,9473.0,Government,"CHEST CLINIC COMPOUND, AURORA BOULEVARD",1301.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 186,+63 028532704,0.0,0.0
208,CENTRAL BICUTAN HEALTH CENTER DPWH,Rural Health Unit,9483.0,Government,INSIDE DPWH COMPOUND SUNFLOWER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CENTRAL BICUTAN,,121.0508645,14.5176184
209,DR. ELVIRA M. LAGROSA HEALTH CENTER,Rural Health Unit,9489.0,Government,"PASAY CITY SPORTS COMPLEX, FB HARRISON",1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 76,+63 025511652,120.9874386,14.5373621
210,FRANCO CLINIC,Hospital,10850.0,Private,LETRE ROAD,1473.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TONSUYA,,120.9602787,14.6597763
211,GEN. T. DE LEON HEALTH CENTER II,Rural Health Unit,10913.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 024449249,120.9923524,14.6862878
212,GRACE PARK HEALTH CENTER,Rural Health Unit,10951.0,Government,"171 3RD STREET, GRACE PARK EAST",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 86,,120.9867488,14.6497679
213,HULONG DUHAT HEALTH CENTER,Rural Health Unit,11474.0,Government,B. BAUTISTA BOULEVARD CORNER M. BLAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,HULONG DUHAT,+63 024468202,120.9421024,14.6780357
214,ILAYA HEALTH CENTER,Barangay Health Station,11604.0,Government,BALITE - TRAMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ILAYA,+63 028292482,0.0,0.0
215,MERALCO CORPORATE WELLNESS CENTER,Hospital,11655.0,Private,"MERALCO COMPOUND, ORTIGAS AVE.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,,+63 026328796,121.0851097,14.5763768
216,MAYOR JUAN R. SANCHEZ MEMORIAL HEALTH CENTER,Rural Health Unit,11696.0,Government,"P. ROSALES STREET, SANTA ANA (KALIWA)",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SANTA ANA,+63 026410614,121.072206,14.5442907
217,JULIAN FELIPE HEALTH CENTER,Rural Health Unit,11699.0,Government,"JULIAN FELIPE STREET, SANGANDAAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 8,,120.9696387,14.6575284
218,EMERGENCY CARE CLINIC,Rural Health Unit,11720.0,Government,SOUTHVILLE 3 POBLACION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,,121.0244389,14.3717912
219,OLD LOWER BICUTAN HEALTH CENTER,Rural Health Unit,11889.0,Government,"PUROK 5, MANUEL L. QUEZON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,,121.0593142,14.4908456
220,MAKABAYAN HEALTH CENTER,Rural Health Unit,11982.0,Government,BARANGKA DRIVE CORNER BUMATAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BARANGKA DRIVE,,121.0362895,14.5698388
221,MALARIA HEALTH CENTER,Rural Health Unit,12082.0,Government,"ASCOVILLE, MALARIA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,,121.0757883,14.7694849
222,MARULAS HEALTH CENTER,Rural Health Unit,12251.0,Government,"RAJAH SULAIMAN ST., MARULAS",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 36,,120.9775974,14.6373221
223,NAPINDAN HEALTH CENTER,Rural Health Unit,12429.0,Government,PUROK 1 NAPINDAN,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NAPINDAN,,121.0979963,14.5353433
224,NORTH DAANG HARI HEALTH CENTER,Rural Health Unit,12454.0,Government,14 ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NORTH DAANG HARI,,121.0513165,14.4848615
225,NORTHVILLE I HEALTH CENTER,Rural Health Unit,12457.0,Government,BLOCK 9 LOT 10,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,,120.978191,14.671279
226,NORTHVILLE II HEALTH CENTER,Rural Health Unit,12462.0,Government,BLOCK 10 LOT 13,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,,120.9776636,14.6724446
227,OUR LADY OF LOURDES HOSPITAL INC.,Hospital,12505.0,Private,"46 P. SANCHEZ STREET, SANTA MESA",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 022519406,121.0208088,14.5961117
228,PAG-ASA HEALTH CENTER,Rural Health Unit,12518.0,Government,INOCENTES STREET CORNER GENERAL KALENTONG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PAG-ASA,,121.025626,14.59055
229,PALAR HEALTH STATION,Rural Health Unit,12528.0,Government,SCORPION STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,,121.0363768,14.5172195
230,PAMANA HEALTH CENTER,Rural Health Unit,12547.0,Government,DAMKA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 598,+63 027161370,121.0202502,14.6000691
231,PAMPLONA I HEALTH CENTER,Barangay Health Station,12551.0,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028723167,0.0,0.0
232,PARKLAND HEALTH CENTER,Rural Health Unit,12576.0,Government,"L�O�T�U�S� �S�T�R�E�E�T�,� �S�T�R�E�E�T� �M�A�R�Y� S� �V�I�L�L�A�G�E�,� �C�A�M�A�R�I�N�",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 177,,0.0,0.0
233,PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.,Hospital,12605.0,Private,101 LONDON STREET GREENPARK VILLAGE,1600.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,+63 026461067,121.0936983,14.6018872
234,PRESIDENTIAL SECURITY GROUP STATION HOSPITAL,Hospital,12776.0,Government,MALACAÑANG PARK,1005.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 025212301,120.9842195,14.5995124
235,PUGAD LAWIN HEALTH CENTER,Barangay Health Station,12903.0,Government,SITIO PUGAD LAWIN,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA DOS,,0.0,0.0
236,PUROK 4 HEALTH CENTER,Rural Health Unit,12909.0,Government,BAUTISTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAPULANG LUPA,,121.0019845,14.7079422
237,SAN FRANCISCO SUPER HEALTH CENTER,Rural Health Unit,13078.0,Government,2ND FLOOR H. FRANCISCO STREET CORNER SAN VICENTE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DAMAYAN,,121.0173425,14.6226637
238,SAN ROQUE HEALTH CENTER,Rural Health Unit,13158.0,Government,612 GAMBAN STREET,1303.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 138,+63 028848084,0.0,0.0
239,NORTH SIGNAL HEALTH CENTER,Rural Health Unit,13380.0,Government,IPIL-IPIL STREET ZONE 1,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184
240,SITIO IMELDA HEALTH CENTER,Rural Health Unit,13382.0,Government,BLOCK 115 LOT 1 PUROK 7,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,UPPER BICUTAN,,121.0485599,14.4979947
241,SOUTH DAANG HARI HEALTH CENTER,Rural Health Unit,13459.0,Government,PUROK 14,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SOUTH DAANG HARI,,121.04696,14.486667
242,"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.",Hospital,13518.0,Private,32 SANTA ANA EXTENSION COR. BETELNUT STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SAN ROQUE,,121.1152301,14.649351
243,ST. JOHN'S HOSPITAL,Hospital,13521.0,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,,120.9631176,14.6907866
244,SANTA QUITERIA HEALTH CENTER,Rural Health Unit,13648.0,Government,TULLAHAN RD. STA. QUITERIA,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 163,,121.0141574,14.6828087
245,STO. NIÑO DE CEBU MATERNITY HOSPITAL,Hospital,13668.0,Private,SUCAT ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 028279647,0.0,0.0
246,TIBAGAN HEALTH CENTER,Barangay Health Station,15449.0,Government,160 DON E. EJERCITO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,TIBAGAN,+63 027289715,121.0305229,14.5993821
247,TUKTUKAN HEALTH CENTER,Rural Health Unit,15994.0,Government,GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026420970,121.0714895,14.5308261
248,URDUJA HEALTH CENTER,Rural Health Unit,16018.0,Government,"MAGAT SALAMAT STREET, URUDUJA VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 172,,121.040116,14.7459843
249,VICTORIA HOMES HEALTH CENTER,Barangay Health Station,16041.0,Government,VICTORIA HOMES SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,TUNASAN,+63 025199295,121.0363768,14.3725455
250,VILLAMOR BARANGAY HEALTH STATION,Barangay Health Station,16066.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,,121.0437003,14.6760413
251,WAWA HEALTH CENTER,Rural Health Unit,16077.0,Government,JONES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WAWA,,121.0747937,14.523149
252,CALOOCAN CITY HEALTH DEPARTMENT,Rural Health Unit,22485.0,Government,"A.MABINI CITY HALL COMPOUND, CALOOCAN CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 15,+63 022888811,120.9729332,14.6503638
253,MALABON CITY HEALTH OFFICE,Rural Health Unit,22572.0,Government,F. SEVILLA BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SAN AGUSTIN,+63 022814999,120.9506031,14.6583552
254,JUSTICE JOSE ABAD SANTOS MOTHER AND CHILD HOSPITAL,Hospital,22594.0,Government,NUMANCIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,,+63 023537001,120.9721223,14.5970982
255,SANTA ANA HOSPITAL,Hospital,22598.0,Government,NEW PANADEROS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 886,+63 025166151,121.0178036,14.5846701
256,VALENZUELA CITY HEALTH OFFICE,Rural Health Unit,22712.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,,120.9739935,14.6898877
257,SUN VALLEY HEALTH CENTER,Rural Health Unit,22722.0,Government,SANTA ANA DRIVE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SUN VALLEY,+63 028239171,0.0,0.0
258,MANDALUYONG CITY HEALTH OFFICE,Rural Health Unit,22749.0,Government,MAYSILO CIRCLE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,,121.0332284,14.5767953
259,EMPOYEES CLINIC,Rural Health Unit,22812.0,Government,MAYSILO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,,121.0332284,14.5767953
260,MARIKINA CITY HEALTH OFFICE,Rural Health Unit,22886.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,,121.1028546,14.65073
261,EMPLOYEES CLINIC,Rural Health Unit,22899.0,Government,ALABANG-ZAPOTE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA TRES,+63 028713909,0.0,0.0
262,TUMANA HEALTH CENTER,Rural Health Unit,22910.0,Government,BAGONG FARMERS 1 AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TUMANA,+63 029431286,121.1003273,14.6545395
263,VILLAMOR HEALTH CENTER,Rural Health Unit,22925.0,Government,MANLUNAS STREET VILLAMOR AIRBASE,1309.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 183,+63 028519707,0.0,0.0
264,MAKATI CITY HEALTH OFFICE,Rural Health Unit,22927.0,Government,"7TH FLOOR, MAKATI CITY HALL BUILDING",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,POBLACION,+63 028701612,121.0300953,14.5658899
265,PASIG CITY HEALTH OFFICE/CENTER,Rural Health Unit,22947.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),,121.0804452,14.5608541
266,REPRO HEALTH CENTER,Rural Health Unit,22966.0,Government,A. MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,POBLACION,+63 028999047,121.0313318,14.5688163
267,TAGUIG CITY HEALTH OFFICE,Rural Health Unit,23010.0,Government,GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026234901,121.0714895,14.5308261
268,IBAYO HEALTH CENTER,Rural Health Unit,23017.0,Government,700 NATIVIDAD STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,IBAYO-TIPAS,,121.0829043,14.5304236
269,QUEZON CITY HEALTH DEPARTMENT,Rural Health Unit,23018.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,,121.0437003,14.6760413
270,SOUTH SIGNAL HEALTH CENTER,Rural Health Unit,23037.0,Government,"FRIENDSHIP STREET, ZONE 6",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184
271,VIAN FAMILY HOSPITAL II,Hospital,23751.0,Private,"QUIRINO HIGHWAY, NOVALICHES",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,+63 024543433,121.0397282,14.7204007
272,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,Hospital,23752.0,Private,"LOT 3 AND 4, BLK. 3 NEOPOLITAN BUSINESS PARK, REGALADO HIGHWAY",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GREATER LAGRO,+63 029300000,121.0612124,14.7291876
273,ST. CHRISTIANA MATERNITY HOSPITAL,Hospital,23753.0,Private,"3338 MAGSAYSAY AVE., KARANGALAN VILLAGE",1611.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,+63 026828751,121.0936983,14.6018872
274,CABINTE MATERNITY AND CHILDRENS HOSPITAL,Hospital,23767.0,Private,"LOT 1 BLOCK 2 SAPPHIRE STREET, GOLDEN ACRES",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON SINGKO,+63 025668310,0.0,0.0
275,PAROLA HEALTH CENTER,Rural Health Unit,24037.0,Government,AREA B PAROLA PIER II TONDO,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 20,+63 029842345,0.0,0.0
276,PATRICIA HEALTH CENTER,Rural Health Unit,24038.0,Government,PATRICIA COMPLEX BENITA STREET CORNER FLORA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 024943754,0.0,0.0
277,ST. CAMILLUS MEDICAL CENTER,Hospital,24433.0,Private,116 E. AMANG RODRIGUEZ AVENUE,1600.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,+63 026453741,121.0922974,14.6022345
278,KATUPARAN HEALTH CENTER,Rural Health Unit,25810.0,Government,PAG-ASA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,KATUPARAN,,121.0614584,14.5167862
279,SAN MIGUEL HEALTH CENTER,Rural Health Unit,25811.0,Government,SEAGULL AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SAN MIGUEL,,121.0761276,14.5169098
280,FORT BONIFACIO HEALTH CENTER,Rural Health Unit,25814.0,Government,SITIO 3 AT THE BACK OF THE NATIONAL NUTRITION COUNCIL,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,,121.0503183,14.5408671
281,CAA-D HEALTH CENTER,Rural Health Unit,25815.0,Government,SAGING STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,,0.0,0.0
282,BLOCK 39 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,25822.0,Government,BLOCK 39,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,,121.0466441,14.5866691
283,ADDITION HILLS HEALTH CENTER,Rural Health Unit,25827.0,Government,"HOOVER STREET., CORNER LLOYD GEORGE STREET",1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ADDITION HILLS,,121.0385269,14.5938309
284,GREENHILLS HEALTH CENTER,Rural Health Unit,25829.0,Government,ANNAPOLIS STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,GREENHILLS,,121.0554179,14.6057557
285,MAYTUNAS HEALTH CENTER,Rural Health Unit,25831.0,Government,M.H. DEL PILAR STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,MAYTUNAS,,121.0307706,14.5943785
286,UROLOGY CENTER OF THE PHILIPPINES (NEW),Hospital,25834.0,Private,"NO. 62 MAGINOO STREET, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,,121.0437003,14.6760413
287,VIAN FAMILY HOSPITAL,Hospital,25836.0,Private,"QUIRINO HIGHWAY, TALIPAPA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,,121.026035,14.6856884
288,VT MATERNITY HOSPITAL (NEW),Hospital,25838.0,Private,"3 TOYOTA AVENUE, CORNER GUERILLA STREET STO. NINO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTO NI??O,,121.0437003,14.6760413
289,SITIO SANTO NIÑO HEALTH CENTER,Rural Health Unit,27870.0,Government,SITIO SANTO NIÑO,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,CUPANG,,121.0418639,14.4404106
290,SOUTHVILLE HEALTH CENTER,Rural Health Unit,27871.0,Government,SOUTHVILLE 3 POBLACION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,,121.0244389,14.3717912
291,BACLARAN HEALTH CENTER,Rural Health Unit,27872.0,Government,108 SITIO MALIGAYA,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,BACLARAN,+63 028538826,0.0,0.0
292,BATASAN HILLS SOCIAL HYGIENE CLINIC,Rural Health Unit,27873.0,Government,"1ST FLOOR, IBP ROAD CORNER COMMONWEALTH AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BATASAN HILLS,,121.0870702,14.686864
293,SAN JUAN CITY HEALTH OFFICE II,Rural Health Unit,27876.0,Government,CORNER ALVIOR DON E. EJERCITO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,TIBAGAN,+63 027240271,121.0292293,14.601331
294,CENTRAL SIGNAL HEALTH CENTER,Rural Health Unit,27877.0,Government,ZONE II,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,SIGNAL VILLAGE,,121.0508645,14.5176184
295,SAN ANDRES HEALTH CENTER,Rural Health Unit,27879.0,Government,1313 WESA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,BARANGAY 738,+63 025427896,121.0244641,14.5524608
296,VALENTINA HEALTH CENTER,Rural Health Unit,27880.0,Government,1563 VALENTINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PACO,,,0.0,0.0
297,FAJARDO HEALTH CENTER,Rural Health Unit,27881.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,,0.0,0.0
298,M. F. JHOCSON HEALTH CENTER,Rural Health Unit,27882.0,Government,M. F. JHOCSON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 023452835,120.9952608,14.6037788
299,SAN DIEGO HEALTH CENTER,Rural Health Unit,27883.0,Government,1449 SAN DIEGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 022540629,120.9956698,14.6143601
300,BUHAY MAHALAGA HEALTH CENTER,Rural Health Unit,27884.0,Government,ARELLANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,,,121.0068316,14.5769851
301,BARANGAY 310 HEALTH CENTER,Rural Health Unit,27885.0,Government,849 QUEZON BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 310,,120.985037,14.604023
302,SMOKEY MOUNTAIN HEALTH CENTER,Rural Health Unit,27922.0,Government,"PERMANENT HOUSING, BALUT",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 128,+63 024256556,0.0,0.0
303,SAN BARTOLOME HEALTH CENTER,Rural Health Unit,27923.0,Government,P. DELA CRUZ CORNER QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,,121.034882,14.7007777
304,BAGUMBONG DULO HEALTH CENTER,Rural Health Unit,27924.0,Government,BAGUMBONG DULO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 173,,121.0349434,14.7541809
305,BARRACKS HEALTH CENTER,Rural Health Unit,27925.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,,121.0757883,14.7694849
