Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,,Barangay Name,Landline Number,lon,lat,Barangay,level, PRCP, BedSpace, OpRoom, RecRoom, MatWard, IsoRoom, dental, blood, pathology, radiology, pharmacy, CMDCDH_2, Spec1, ICU, NICU, HRPU, RTS, TerClin, MobX, Teach_3, PRU, ASC, Dialysis, BBank, Hispa, radiology3
"VILLON-TANSINSIN HOSPITAL, INC.",Hospital,29734,Private,3 TOYOTA AVENUE COR. GUERILLA ST.,,MARIKINA,SANTO NI??O,,121.1028546,14.65073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILDS HOPE/PASIG  CHILDRENS HOSPITAL,Hospital,29735,Government,ALCALDE JOSE CORNER INDUSTRIA,,PASIG,SAN JOSE,,121.0741221,14.5616286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOÑA NICASIA HEALTH CENTER,Rural Health Unit,29736,Government,MALASAKIT STREET,,QUEZON ,COMMONWEALTH,,121.0822362,14.6966972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRVIEW POLYMEDIC HOSPITAL,Hospital,29737,Private,1041 QUIRINO HIGHWAY,,QUEZON ,SANTA MONICA,+63 029398764,121.0318354,14.6954564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARMA HOSPITAL,Hospital,29738,Private,"8 PURDUE STREET CORNER NEW YORK, E. RODRIGUEZ, CUBAO",,QUEZON ,E. RODRIGUEZ,,121.052143,14.6273978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELCHORA AQUINO HEALTH CENTER,Rural Health Unit,29739,Government,NPC,,QUEZON ,NEW ERA (CONSTITUTION HILLS),,121.0934847,14.6938615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT. BANAWE GENERAL HOSPITAL,Hospital,29740,Private,264 E. RODRIGUEZ SR. BOULEVARD,,QUEZON ,E. RODRIGUEZ,+63 027240656,121.0224899,14.6211893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC GLOBAL MEDICAL CENTER,Hospital,29741,Private,"LOT 2B,MINDANAO AVENUE",,QUEZON ,TALIPAPA,+63 029014941,121.0351815,14.6548904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNP GENERAL HOSPITAL ANNEX,Hospital,29742,Government,"CAMP PANOPIO, P. TUAZON",,QUEZON ,KAUNLARAN,+63 027236730,121.0464885,14.6152343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA GENERAL HOSPITAL CORPORATION,Hospital,29743,Private,797 QUIRINO HIGHWAY,,QUEZON ,SANTA MONICA,+63 024185593,121.0317819,14.6953716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT LOUIS MEDICAL CLINIC AND HOSPITAL,Hospital,29744,Private,MARIANITO STREET,,QUEZON ,SAN BARTOLOME,+63 029361243,121.0653914,14.7063563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHASE 2 AREA 1 SATELLITE CENTER,Rural Health Unit,29745,Government,BLOCK 23 LANGARAY STREET CORNER DALAG STREET PHASE 2 AREA 1,1485,NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMANA HEALTH CENTER,Rural Health Unit,29746,Government,PHASE 2 AREA 2,1485,NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METRO NORTH MEDICAL CENTER AND HOSPITAL INC.,Hospital,30973,Private,1001 MINDANAO AVENUE,,QUEZON ,BAHAY TORO,+63 024268000,121.027968,14.690044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METRO PSYCH FACILITY,Hospital,662,Private,520 DR. SIXTO AVENUE,,PASIG,MAYBUNGA,+63 026436006,121.0821996,14.5789919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGAMUTANG BAYAN NG MALABON,Hospital,693,Government,MAYA MAYA STREET,,MALABON,LONGOS,+63 022812898,120.9605559,14.653715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASAY  GENERAL HOSPITAL,Hospital,699,Government,P. ZAMORA STREET,1304,PASAY ,BARANGAY 60,+63 028336022,121.0003936,14.5851565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASIG  GENERAL HOSPITAL,Hospital,700,Government,M. EUSEBIO AVENUE,,PASIG,MAYBUNGA,+63 022737981,121.1055687,14.5414069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CENTER FOR DIALYSIS, HEALTHY LIFESTYLE, AMBULLATORY SURGERY, MATERNITY CLINIC AND NEWBORN CARE OF PASIG  (CHAMP)",Rural Health Unit,701,Government,CARUNCHO AVENUE,,PASIG,SAN NICOLAS (POB.),,121.0804452,14.5608541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINE CHILDRENS MEDICAL CENTER,Hospital,713,Government,QUEZON AVENUE,,QUEZON ,BAGONG PAG-ASA,+63 029246601,121.0449733,14.6488632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINE HEART CENTER,Hospital,714,Government,"EAST AVENUE, DILIMAN",,QUEZON ,CENTRAL,+63 029252401,121.0479354,14.6450291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINE ORTHOPEDIC CENTER,Hospital,715,Government,MA. CLARA STREET CORNER BANAWE STREET,,QUEZON ,SANTA TERESITA,+63 027124602,121.0043072,14.6274541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALOOCAN  MEDICAL CENTER,Hospital,719,Government,450 A.MABINI STREET,,CALOOCAN ,BARANGAY 15,,120.9736053,14.6482223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIZAL MEDICAL CENTER,Hospital,727,Government,PASIG BOULEVARD,1600,PASIG,PINEDA,+63 026719740,121.0660369,14.5674546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGUIG-PATEROS DISTRICT HOSPITAL,Hospital,788,Government,EAST SERVICE ROAD,,TAGUIG,WESTERN BICUTAN,+63 028383485,121.0317778,14.5141296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENZUELA  EMERGENCY HOSPITAL,Hospital,801,Government,POLO,,VALENZUELA,POBLACION,+63 022945137,120.9472793,14.7092383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENZUELA MEDICAL CENTER,Hospital,802,Government,,,VALENZUELA,KARUHATAN,,120.9739935,14.6898877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMONA HEALTH CENTER,Rural Health Unit,809,Government,"3002 H. SANTOS STREET, PASONG TAMO",,MAKATI,CARMONA,+63 028953721,121.015496,14.5714919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA HEALTH CENTER,Rural Health Unit,814,Government,"KAPANALIG STREET, MARCELA",,CALOOCAN ,BARANGAY 28,,120.9682722,14.6403686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORAZON AQUINO HEALTH CENTER,Rural Health Unit,826,Government,BASECO COMPOUND,,PORT AREA,BARANGAY 649,+63 024943471,120.9569326,14.59127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIZAL HEALTH CENTER,Rural Health Unit,828,Government,AMRILLO STREET,,MAKATI,RIZAL,+63 027291992,121.0607418,14.5382146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALABASH HEALTH CENTER,Rural Health Unit,832,Government,2111 SOLEDAD EXTENSION,,MANILA,BARANGAY 534,+63 027812024,121.0032254,14.6121073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUMAY WEST HEALTH CENTER,Rural Health Unit,838,Government,T. SANTIAGO STREET,,VALENZUELA,CANUMAY,+63 024442235,120.9839357,14.6977092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION HEALTH CENTER,Rural Health Unit,839,Government,E. DE JESUS STREET,,MALABON,CONCEPCION,,120.9466542,14.6686442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRUS NA LIGAS HEALTH CENTER,Rural Health Unit,840,Government,89 LT. J. FRANCISCO,,QUEZON ,KRUS NA LIGAS,,121.0639285,14.6461921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALANDANAN HEALTH CENTER,Rural Health Unit,841,Government,177 MC ARTHUR HI-WAY,,VALENZUELA,DALANDANAN,,120.961799,14.7031092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMASALANG HEALTH CENTER,Rural Health Unit,844,Government,"ISAGANI CORNER TIAGO STREET, MANILA",,MANILA,BARANGAY 368,+63 027112849,120.9885283,14.6217035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOÑA MARTA HEALTH CENTER,Rural Health Unit,846,Government,37 DON CARLOS REVILLA STREET,1300,PASAY ,BARANGAY 147,+63 028517804,121.0023293,14.5367344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTRERO HEALTH CENTER,Rural Health Unit,847,Government,14 DURIAN STREET,1475,MALABON,POTRERO,,120.9848447,14.6626507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPERANZA HEALTH CENTER,Rural Health Unit,850,Government,"286 TERESA STREET, OLD STA. MESA",,MANILA,BARANGAY 842,+63 027157028,121.0168934,14.6001581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. LEGARDA HEALTH CENTER,Rural Health Unit,851,Government,457 QUINTOS STREET,,MANILA,,+63 027812456,121.001694,14.6086128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCISCO HEALTH CENTER,Rural Health Unit,852,Government,124 ESGUERRA STREET,,CALOOCAN ,BARANGAY 75,,120.968835,14.6164805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAGONOY HEALTH CENTER,Rural Health Unit,853,Government,1 C.P. TINGA STREET,,TAGUIG,HAGONOY,,121.0694179,14.5118634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARUHATAN HEALTH CENTER,Rural Health Unit,857,Government,,,VALENZUELA,KARUHATAN,+63 024450907,120.9739935,14.6898877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZVIMINDA HEALTH CENTER,Rural Health Unit,860,Government,CEBU STREET CORNER LUZON AVENUE,,MANILA,BARANGAY 558,+63 027155047,121.0070766,14.6106993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MABOLO HEALTH CENTER,Rural Health Unit,861,Government,34 AMABELLA COMPOUND,,VALENZUELA,MABOLO,+63 024445730,120.9355507,14.7193098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANOTOC HEALTH CENTER,Rural Health Unit,866,Government,FELOMENA STREET,,VALENZUELA,MARULAS,+63 024450587,120.9799839,14.6837594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSENIA J. MAXIMO SUPER HEALTH CENTER,Rural Health Unit,872,Government,QUIRINO HIGHWAY,,QUEZON ,NOVALICHES PROPER,,121.0397282,14.7204007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVALICHES LYING-IN CLINIC,Rural Health Unit,873,Government,QUIRINO HIGHWAY,,QUEZON ,NOVALICHES PROPER,,121.0397282,14.7204007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVC (OLANDES) HEALTH CENTER,Rural Health Unit,874,Government,O. DE GUZMAN STREET,,MARIKINA,INDUSTRIAL VALLEY,+63 023698254,121.1047927,14.6526138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBLIZA HEALTH CENTER,Rural Health Unit,875,Government,FORTUNA STREET,,MAKATI,OLYMPIA,+63 028991212,121.0212284,14.5741934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG PAG-ASA HEALTH CENTER,Rural Health Unit,876,Government,ROAD 9 CORNER ROAD 10,,QUEZON ,BAGONG PAG-ASA,,121.0343053,14.6621191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALANAN HEALTH CENTER,Rural Health Unit,878,Government,4513 CASINO STREET,,MAKATI,PALANAN,+63 028327935,121.00575,14.560328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARADA HEALTH CENTER,Rural Health Unit,879,Government,S. DE GUZMAN STREET,,VALENZUELA,PARADA,+63 022926367,120.9902465,14.6953503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE 9 HEALTH CENTER,Rural Health Unit,880,Government,BAGONG SILANG PHASE 9,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POBLACION HEALTH CENTER,Rural Health Unit,881,Government,"GROUND FLOOR, CONTESSA BUILDING",,MUNTINLUPA,POBLACION,+63 028612462,121.0290335,14.3854118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROGRESO STATION HEALTH CENTER,Barangay Health Station,883,Government,J. EUSTAQUIO STREET,1500,SAN JUAN,PROGRESO,,121.0202502,14.6033029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNTURIN HEALTH CENTER,Rural Health Unit,885,Government,19 P. FAUSTINO,,VALENZUELA,PUNTURIN,+63 024452554,120.9888653,14.7399922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSARIO SUPER HEALTH CENTER,Rural Health Unit,888,Government,F. ANDRES STREET,,PASIG,ROSARIO,,121.0843805,14.5906601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,893,Government,3312 N. PADILLA,,SAN MIGUEL,BARANGAY 645,+63 027360360,120.99045,14.59246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL HEIGHTS HEALTH CENTER,Rural Health Unit,894,Government,ROAD 1,,VALENZUELA,MARULAS,,120.989907,14.6754095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN NICOLAS HEALTH CENTER,Rural Health Unit,897,Government,521 ASUNCION STREET,,MANILA,BARANGAY 285,+63 022433593,120.9708451,14.5989573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN SEBASTIAN HEALTH CENTER,Rural Health Unit,901,Government,47 PLAZA DEL CARMEN,,MANILA,BARANGAY 390,+63 027348754,120.9877473,14.5981617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER BICUTAN HEALTH CENTER,Rural Health Unit,914,Government,PUROK 4,,TAGUIG,UPPER BICUTAN,,121.0485599,14.4979947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USUSAN HEALTH CENTER,Rural Health Unit,915,Government,TOMASA AVENUE TOMASA SUBDIVISION,,TAGUIG,USUSAN,,121.065173,14.5311498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEINTE REALES HEALTH CENTER,Rural Health Unit,916,Government,C. MOLINA STREET,,VALENZUELA,VIENTE REALES,,120.9689892,14.7147165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN BICUTAN HEALTH CENTER,Rural Health Unit,919,Government,SERVICE ROAD,,TAGUIG,WESTERN BICUTAN,,121.0317778,14.5141296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORAZON DE JESUS HEALTH CENTER I,Barangay Health Station,931,Government,P.NARCISO STREET,1500,SAN JUAN,CORAZON DE JESUS,+63 024127290,121.030151,14.6058923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMBO HEALTH CENTER,Rural Health Unit,1346,Government,SAMPAGUITA CORNER SANTAN STREET,,MAKATI,PEMBO,+63 027581398,121.0598533,14.5435607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA MINI FLOODWAY HEALTH CENTER,Rural Health Unit,1435,Government,EASTBANK ROAD,,PASIG,SANTA LUCIA,,121.0971098,14.5825591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGGAHAN HEALTH CENTER,Rural Health Unit,1436,Government,EASTBANK FLOODWAY,,PASIG,MANGGAHAN,,121.0936983,14.6018872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTO TOMAS HEALTH CENTER,Rural Health Unit,1445,Government,LB JOSE STREET,,PASIG,SANTO TOMAS,+63 026281025,121.0829526,14.5614557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGRO HEALTH CENTER,Rural Health Unit,1447,Government,"BLOCK 47 LOT 1 , ASCENSION AVENUE, LAGRO SUBDIVISION",,QUEZON ,GREATER LAGRO,+63 029308815,121.0631906,14.7275742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA PAZ HEALTH CENTER,Rural Health Unit,1449,Government,815 ARCHIMEDES STREET,,MAKATI,LA PAZ,+63 028908952,121.0088447,14.5684465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANTONIO HEALTH CENTER,Rural Health Unit,1452,Government,8456 MAYAPIS STREET,,MAKATI,SAN ANTONIO,+63 028972626,121.0038403,14.566075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINAGKAISAHAN HEALTH CENTER,Rural Health Unit,1464,Government,DANLIG STREET CORNER TOLENTINO STREET,,MAKATI,PINAGKAISAHAN,+63 028818128,121.0399602,14.5574149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGAD HEALTH CENTER,Rural Health Unit,1466,Government,ANGELES STREET CORNER FELICIANO STREET,,PASIG,SAGAD,+63 026280227,121.0790123,14.5655881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARANGALAN HEALTH CENTER,Rural Health Unit,1467,Government,KAGINHAWAHAN STREET KARANGALAN VILLAGE,,PASIG,MANGGAHAN,,121.0936983,14.6018872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG ILOG HEALTH CENTER,Rural Health Unit,1469,Government,SGT. PASCUA STREET (POOK MALIGAYA),,PASIG,BAGONG ILOG,+63 026710681,121.06934,14.5653911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO CRUZ HEALTH CENTER,Rural Health Unit,1470,Government,F.SEVILLA STREET,1500,SAN JUAN,PEDRO CRUZ,+63 027995069,121.0278316,14.6039593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPICO HEALTH CENTER,Rural Health Unit,1471,Government,AMPALAYA STREET NAPICO,,PASIG,MANGGAHAN,,121.0936983,14.6018872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGCULASI HEALTH CENTER,Rural Health Unit,1474,Government,ALPHA STREET,1485,NAVOTAS,BANGCULASI,+63 022818732,120.9518739,14.6500257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISMAR HEALTH CENTER,Rural Health Unit,1475,Government,SAMPAGUITA ROAD ISMAR,,PASIG,KALAWAAN,+63 026425648,121.086626,14.5487915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG ILOG PUERICULTURE CENTER,Rural Health Unit,1477,Government,M. FLORES CORNER AVIS STREET,,PASIG,BAGONG ILOG,,121.0709156,14.561853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANIOGAN HEALTH CENTER,Rural Health Unit,1478,Government,KALINANGAN STREET,,PASIG,CANIOGAN,+63 026415110,121.0804169,14.5719448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE BAGUIO HEALTH CENTER,Rural Health Unit,1480,Government,ALVIR STREET,1500,SAN JUAN,LITTLE BAGUIO,+63 024012306,121.036097,14.6037986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPITOLYO HEALTH CENTER,Rural Health Unit,1481,Government,SANTA ISABEL CORNER SANTA ROSA BARRIO,,PASIG,KAPITOLYO,+63 026314397,121.0601574,14.569208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST CRAME HEALTH CENTER,Rural Health Unit,1483,Government,ROAD 10 CORNER ROAD 6,1500,SAN JUAN,WEST CRAME,+63 024108471,121.0503373,14.6047692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASADEÑA HEALTH CENTER,Rural Health Unit,1485,Government,187 F. BENITEZ STREET,1500,SAN JUAN,PASADE??A,,121.034207,14.607965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA HEALTH CENTER,Rural Health Unit,1486,Government,1 B.S. ANGELES STREET,1500,SAN JUAN,SANTA LUCIA,,121.035387,14.597904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA HEALTH CENTER,Rural Health Unit,1487,Government,CAMIA STREET,,PASIG,SANTA LUCIA,,121.0980222,14.5881883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYBUNGA HEALTH CENTER,Rural Health Unit,1488,Government,DR. SIXTO ANTONIO AVENUE,,PASIG,MAYBUNGA,+63 026428645,121.0820322,14.578775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN  HEALTH OFFICE I,Rural Health Unit,1493,Government,F. SEVILLA STREET,1500,SAN JUAN,PEDRO CRUZ,+63 027995069,121.0278316,14.6039593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIO DEL PILAR RURAL HEALTH UNIT,Rural Health Unit,1505,Government,APOLINARIO STREET CORNER ARGUELLES STREET,,MAKATI,PIO DEL PILAR,+63 028450622,121.0120069,14.5531003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTING HEALTH CENTER,Rural Health Unit,1691,Government,2 CONCHING STREET,,PASIG,BUTING,+63 026411440,121.0671905,14.5547191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNRISE HILL THERAPEUTIC COMMUNITY HOSP,Hospital,1801,Private,"20 11TH STREET, NEW MANILA",,QUEZON ,,+63 027246128,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGAY 12 HEALTH CENTER,Rural Health Unit,1834,Government,"BANGAYNGAY STREET, DAGAT-DAGATAN",,CALOOCAN ,BARANGAY 12,,120.9654037,14.6537352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGO BANTAY HEALTH CENTER,Rural Health Unit,1842,Government,BUKIDNON STREET,,QUEZON ,ALICIA,,120.9992887,14.6670574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALANDAY HEALTH CENTER,Rural Health Unit,1876,Government,I. MARCELO STREET,,VALENZUELA,MALANDAY,+63 022946951,120.9831648,14.6990294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDINAL SANTOS MEDICAL CENTER,Hospital,1919,Private,WILSON STREET,1500,SAN JUAN,GREENHILLS,+63 027253577,121.0400073,14.5979697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANSOL HEALTH CENTER,Rural Health Unit,1925,Government,PLAZA STREET,,QUEZON ,PANSOL,+63 029235236,121.0800647,14.6515439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE FABELLA HEALTH CENTER,Rural Health Unit,1936,Government,1004 FERMIN STREET SINGALONG,,MANILA,BARANGAY 724,+63 025232857,120.9944432,14.5695716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUNASAN HEALTH CENTER,Rural Health Unit,1944,Government,E.RODRIGUEZ AVENUE,,MUNTINLUPA,TUNASAN,+63 028612849,121.0490467,14.3773987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGNAY HEALTH CENTER,Rural Health Unit,1949,Government,HULO STREET,,VALENZUELA,BIGNAY,+63 029840291,120.9962356,14.7456648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Hospital,1981,Government,"EAST AVENUE, DILIMAN",,QUEZON ,CENTRAL,+63 029810330,121.0479354,14.6450291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMILANG HEALTH CENTER,Rural Health Unit,1993,Government,"KALAYAAN STREET, OLD BARANGAY HALL",,PASIG,SUMILANG,+63 026416800,121.0743554,14.556254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Hospital,2232,Government,FILINVEST CORPORATE ,,MUNTINLUPA,ALABANG,+63 028072628,121.0331069,14.4226115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABANG HEALTH CENTER,Rural Health Unit,2237,Government,LIWASAN NG MGA BAYANI,,MUNTINLUPA,ALABANG,,121.0447081,14.4187079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHARLIKA VILLAGE HEALTH CENTER,Rural Health Unit,2238,Government,1 PANANGAN PANGANDAMAN JR. STREET,,TAGUIG,MAHARLIKA VILLAGE,+63 028377002,121.0550093,14.4976996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAL CENTER MUNTINLUPA, INC",Hospital,2245,Private,38 NATIONAL ROAD,,MUNTINLUPA,PUTATAN,+63 028620162,121.0469633,14.4042525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.C. ICASIANO HEALTH CENTER,Rural Health Unit,2263,Government,1806 P. GIL STREET,,MANILA,BARANGAY 812,+63 025640779,121.0023293,14.5781187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGKA HEALTH CENTER,Rural Health Unit,2286,Government,BONIFACIO AVENUE,,MARIKINA,BARANGKA,,121.0809483,14.6324266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCAT HEALTH CENTER,Rural Health Unit,2298,Government,PUROK 3,,MUNTINLUPA,SUCAT,,121.0492766,14.4546106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN MEDICAL CENTER,Hospital,2314,Government,N.DOMINGO STREET,1500,SAN JUAN,BALONG-BATO,+63 027243266,121.0268204,14.6076922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITOGO HEALTH CENTER,Rural Health Unit,2324,Government,502 CEBU STREET,,MAKATI,PITOGO,+63 028825616,121.0467863,14.5571507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALIGAYAHAN HEALTH CENTER,Rural Health Unit,2336,Government,58 KINGFISHER STREET,,QUEZON ,KALIGAYAHAN,,121.0497977,14.6986098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA ELENA HEALTH CENTER,Rural Health Unit,2367,Government,"W. PAZ STREET, COR. SHOE AVENUE",,MARIKINA,SANTA ELENA (POB.),,121.1001453,14.6326136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYANAN HEALTH CENTER (ANNEX),Rural Health Unit,2370,Government,"PUROK I BLOCK, 2 DOLLETON STREET",,MUNTINLUPA,BAYANAN,+63 028620124,121.0429524,14.4068795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEU- DR. NICANOR REYES MEDICAL FOUNDATION,Hospital,2407,Private,REGALADO AVENUE WEST FAIRVIEW,,QUEZON ,FAIRVIEW,+63 024270213,121.0679851,14.7013316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA SUPER HEALTH CENTER,Rural Health Unit,2418,Government,2ND FLR STA. LUCIA AVENUE,,QUEZON ,SANTA LUCIA,,121.0535845,14.7074468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALUMPANG HEALTH CENTER,Rural Health Unit,2427,Government,M. H. DEL PILAR STREET,,MARIKINA,CALUMPANG,+63 023694687,121.0947107,14.6219563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAMIG HEALTH CENTER,Rural Health Unit,2428,Government,CRESTA STREET,,MANDALUYONG,MALAMIG,,121.0467171,14.5750534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MABINI-J. RIZAL HEALTH CENTER,Rural Health Unit,2431,Government,J. RIZAL STREET CORNER A. MABINI STREET,,MANDALUYONG,MABINI-J. RIZAL,,121.0213254,14.5847136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER TERESAS HOME THAT CARES INC,Hospital,2436,Private,257-A ROSARIO STREET,,MANDALUYONG,PLAINVIEW,+63 025326773,121.0322327,14.5778449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
